Name,Marketcap,Date,RevenueY,RevenueQ,NetProfitY,NetProfitQ,EPS
ABB India Ltd,143934.53,17-Feb-25,,,,,
Adani Energy Solutions Ltd,98487.16,23-Jan-25,24.4%,-5.6%,79.6%,-19.1,
Adani Enterprises Ltd,295995.42,30-Jan-25,-8.8%,1.1%,-88.4%,-88.5%,
Adani Green Energy Ltd,164478.01,23-Jan-25,12.9%,-13.6%,85.2%,-8.0%,
Adani Ports & Special Economic Zone Ltd,259054.66,30-Jan-25,15.1%,12.7%,14.0%,4.4%,
Adani Power Ltd,200753.67,29-Jan-25,5.2%,2.5%,7.4%,-11.8%,
Adani Total Gas Ltd,79983.69,27-Jan-25,12.5%,6.2%,-19.3%,23.2%,
Ambuja Cements Ltd,135077.69,29-Jan-25,4.5%,15.8%,242.7%,71.6%,
Apollo Hospitals Enterprise Ltd,104984.37,10-Feb-25,,,,,
Asian Paints Ltd,223900.74,04-Feb-25,-6.1%,6.5%,-23.5%,62.5%,
Avenue Supermarts Ltd,261806.18,11-Jan-25,17.7%,10.6%,4.8%,9.7%,
Axis Bank Ltd,335570.52,16-Jan-25,10.7%,1.8%,3.8%,-8.9%,
Bajaj Auto Ltd,250379.58,28-Jan-25,-2.44%,5.72%,5.17%,3.27%,
Bajaj Finance Ltd,458769.23,29-Jan-25,25.9%,5.2%,18.4%,6.8%,
Bajaj Finserv Ltd,271512.39,31-Jan-25,10.3%,-4.9%,9.1%,5.6%,
Bajaj Holdings & Investment Ltd,129229.95,30-Jan-25,16.7%,-54.8%,6.4%,15.9%,
Bank of Baroda,124940.11,30-Jan-25,11.4%,4.6%,5.6%,-7.7%,
Bharat Electronics Ltd,213408.99,30-Jan-25,39.2%,25.6%,47.3%,20.6%,
Bharat Heavy Electricals Ltd,80070.05,28-Jan-25,32.2%,10.5%,123.3%,26.9%,
Bharat Petroleum Corporation Ltd,128571.61,22-Jan-25,-1.9%,8.1%,19.6%,65.7%,
Bharti Airtel Ltd,910934.58,07-Feb-25,19.1%,8.8%,461.0%,288.5%,
Bosch Ltd,100986.96,28-Jan-25,6.2%,1.6%,-11.6%,-14.7%,
Britannia Industries Ltd,116467.05,06-Feb-25,7.9%,-1.6%,4.7%,9.4%,
Canara Bank,92021.76,27-Jan-25,-3.0%,-2.0%,12.5%,2.0%,
Cholamandalam Investment & Finance Company Ltd,110966.29,31-Jan-25,34.2%,7.1%,24.8%,12.4%,
Cipla Ltd,121969.91,28-Jan-25,7.1%,0.3%,48.2%,21.3%,
Coal India Ltd,242749.87,27-Jan-25,-1.0%,17.0%,-17.0%,35.0%,
Dabur India Ltd,93055.4,30-Jan-25,3.1%,10.8%,2.0%,23.4%,
Divis Laboratories Ltd,160495.67,03-Feb-25,25.0%,-0.8%,64.5%,15.5%,
DLF Ltd,204893.93,24-Jan-25,5.7%,-20.3%,61.3%,-23.4%,
Dr Reddys Laboratories Ltd,112876.7,23-Jan-25,15.9%,4.3%,2.5%,12.6%,
Eicher Motors Ltd,145509.51,10-Feb-25,19.0%,16.7%,17.5%,6.4%,
GAIL (India) Ltd,125683.03,30-Jan-25,2.1%,6.2%,36.0%,44.7%,
Godrej Consumer Products Ltd,114162.56,24-Jan-25,3.0%,2.8%,-14.3%,1.4%,
Grasim Industries Ltd,165226.66,11-Feb-25,8.8%,3.7%,-29.2%,67.6%,
Havells India Ltd,106479.78,16-Jan-25,10.8%,7.7%,-3.1%,4.2%,
HCL Technologies Ltd,528418.44,13-Jan-25,5.1%,3.6%,5.6%,8.4%,  
HDFC Bank Ltd,1337919.84,22-Jan-25,7.7%,2.7%,2.2%,-0.5,
HDFC Life Insurance Company Ltd,134130.38,15-Jan-25,10.2%,1.3%,14.6%,-3.2%,
Hero MotoCorp Ltd,84858.8,06-Feb-25,4.8%,-2.1%,1.6%,3.9%,
Hindalco Industries Ltd,132833.56,13-Feb-25,,,,,
Hindustan Aeronautics Ltd,281263.36,12-Feb-25,,,,,
Hindustan Unilever Ltd,565194.18,22-Jan-25,2.0%,-0.9%,19.3%,15.2%,
ICICI Bank Ltd,893378.5,25-Jan-25,9.1%,1.6%,14.8%,0.4%,
ICICI Lombard General Insurance Company Ltd,90902.76,17-Jan-25,0.6%,-6.8%,67.9%,4.4%,
ICICI Prudential Life Insurance Company Ltd,97421.59,21-Jan-25,23.2%,13.7%,43.2%,29.4%,
Indian Oil Corporation Ltd,195155.51,28-Jan-25,-3.2%,10.5%,-76.7%,578.5%,
Indian Railway Catering & Tourism Corporation Ltd,63684,11-Feb-25,,,,,
Indian Railway Finance Corporation Ltd,200797.59,20-Jan-25,0.4%,-2.0%,2.0%,1.1%,
IndusInd Bank Ltd,77757.15,31-Jan-25,18.9%,2.8%,-39.2%,-38.4%,
